isbn,title,authors,series,genres,publish_date,publisher,pages,summary,identifier,read,reading_periods,comments,cover_url,cover
klnl,hvnjv,hvjvjhnv,12,culture generale; culture generale,,,,,klnl,,,,,
,Partly right,Anthony Campolo,12,culture generale; culture generale,1987,Word Pub.,222,,9780850091342,,,,https://covers.openlibrary.org/b/id/10311826-L.jpg,books\2.jpg
,Case for an Empty Tomb,Ross Clifford,12,culture generale; culture generale,1990,Albatross Books Pty Ltd,142,,9780867601275,,,,,
